Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Comments
2,Add Two Numbers,★★,445.0,,,,,,,traversal
24,Swap Nodes in Pairs,★★,,,,,,,,reverse
206,Reverse Linked List,★★,,,,,,,,reverse
141,Linked List Cycle,★★,142.0,,,,,,,fast/slow
23,Merge k Sorted Lists,★★★,21.0,,,,,,,priority_queue / mergesort
147,Insertion Sort List,★★★,,,,,,,,insertion sort
148,Sort List,★★★★,,,,,,,,merge sort O(1) space
707,Design Linked List,★★★★,,,,,,,,
